period,spx_total_return_usd,usdmxn_start,usdmxn_end,usdmxn_change,return_in_mxn_sic,banxico_avg_target_rate,note
2025 calendar year,0.179,20.7862,18.0012,-0.13398,0.02103,0.08375,Peso appreciation cut the dollar return
2026 to Sep 23,0.1347,18.0012,17.2,-0.04451,0.0842,0.06698,Peso appreciation cut the dollar return
