strategy,amount_mxn,horizon_days,rate_shock_bp,institution,type,product,term_days,rate_annual,allocated_mxn,gross_interest_mxn
"E. Split, protected products only",50000,180,0,Ualá,Bank,On demand (Plus),0,0.15,25000,1849.32
"F. Split, including Mercado Pago",50000,180,0,Revolut,Bank,Savings (on demand),0,0.15,25000,1849.32
"F. Split, including Mercado Pago",50000,180,0,Ualá,Bank,On demand (Plus),0,0.15,25000,1849.32
A. All in Stori on demand (SOFIPO),50000,180,50,Stori,SOFIPO,On demand,0,0.0725,50000,1726.03
B. All in Nu Cajita (bank),50000,180,50,Nu,Bank,Cajita (on demand),0,0.065,50000,1541.1
C. All in CETES (GBM),50000,180,50,CETES (via GBM or Cetesdirecto),Government,CETES 182d,180,0.0691,50000,1703.84
D. All in best SOFIPO fixed term,50000,180,50,Stori,SOFIPO,Fixed term 180d,180,0.1,50000,2465.75
"E. Split, protected products only",50000,180,50,Revolut,Bank,Savings (on demand),0,0.15,25000,1818.49
"E. Split, protected products only",50000,180,50,Ualá,Bank,On demand (Plus),0,0.15,25000,1818.49
"F. Split, including Mercado Pago",50000,180,50,Revolut,Bank,Savings (on demand),0,0.15,25000,1818.49
"F. Split, including Mercado Pago",50000,180,50,Ualá,Bank,On demand (Plus),0,0.15,25000,1818.49
A. All in Stori on demand (SOFIPO),50000,365,0,Stori,SOFIPO,On demand,0,0.0725,50000,3625.0
B. All in Nu Cajita (bank),50000,365,0,Nu,Bank,Cajita (on demand),0,0.065,50000,3250.0
C. All in CETES (GBM),50000,365,0,CETES (via GBM or Cetesdirecto),Government,CETES 364d,365,0.0724,50000,3620.0
D. All in best SOFIPO fixed term,50000,365,0,Finsus,SOFIPO,Fixed term 365d,365,0.0869,50000,4345.0
"E. Split, protected products only",50000,365,0,Revolut,Bank,Savings (on demand),0,0.15,25000,3750.0
"E. Split, protected products only",50000,365,0,Ualá,Bank,On demand (Plus),0,0.15,25000,3750.0
"F. Split, including Mercado Pago",50000,365,0,Revolut,Bank,Savings (on demand),0,0.15,25000,3750.0
"F. Split, including Mercado Pago",50000,365,0,Ualá,Bank,On demand (Plus),0,0.15,25000,3750.0
A. All in Stori on demand (SOFIPO),50000,365,50,Stori,SOFIPO,On demand,0,0.0725,50000,3436.64
B. All in Nu Cajita (bank),50000,365,50,Nu,Bank,Cajita (on demand),0,0.065,50000,3061.64
C. All in CETES (GBM),50000,365,50,CETES (via GBM or Cetesdirecto),Government,CETES 364d,365,0.0724,50000,3620.0
D. All in best SOFIPO fixed term,50000,365,50,Finsus,SOFIPO,Fixed term 365d,365,0.0869,50000,4345.0
"E. Split, protected products only",50000,365,50,Revolut,Bank,Savings (on demand),0,0.15,25000,3655.82
"E. Split, protected products only",50000,365,50,Ualá,Bank,On demand (Plus),0,0.15,25000,3655.82
"F. Split, including Mercado Pago",50000,365,50,Revolut,Bank,Savings (on demand),0,0.15,25000,3655.82
"F. Split, including Mercado Pago",50000,365,50,Ualá,Bank,On demand (Plus),0,0.15,25000,3655.82
A. All in Stori on demand (SOFIPO),100000,30,0,Stori,SOFIPO,On demand,0,0.0725,100000,595.89
B. All in Nu Cajita (bank),100000,30,0,Nu,Bank,Cajita (on demand),0,0.065,100000,534.25
C. All in CETES (GBM),100000,30,0,CETES (via GBM or Cetesdirecto),Government,CETES 28d,30,0.0615,100000,505.48
D. All in best SOFIPO fixed term,100000,30,0,Finsus,SOFIPO,Fixed term 30d,30,0.0719,100000,590.96
"E. Split, protected products only",100000,30,0,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"E. Split, protected products only",100000,30,0,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"E. Split, protected products only",100000,30,0,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"E. Split, protected products only",100000,30,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"E. Split, protected products only",100000,30,0,Nu,Bank,Cajita Turbo,0,0.13,10000,106.85
"F. Split, including Mercado Pago",100000,30,0,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"F. Split, including Mercado Pago",100000,30,0,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"F. Split, including Mercado Pago",100000,30,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,308.22
"F. Split, including Mercado Pago",100000,30,0,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"F. Split, including Mercado Pago",100000,30,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,10000,123.29
A. All in Stori on demand (SOFIPO),100000,30,50,Stori,SOFIPO,On demand,0,0.0725,100000,595.89
B. All in Nu Cajita (bank),100000,30,50,Nu,Bank,Cajita (on demand),0,0.065,100000,534.25
C. All in CETES (GBM),100000,30,50,CETES (via GBM or Cetesdirecto),Government,CETES 28d,30,0.0615,100000,505.48
D. All in best SOFIPO fixed term,100000,30,50,Finsus,SOFIPO,Fixed term 30d,30,0.0719,100000,590.96
"E. Split, protected products only",100000,30,50,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"E. Split, protected products only",100000,30,50,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"E. Split, protected products only",100000,30,50,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"E. Split, protected products only",100000,30,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,308.22
"E. Split, protected products only",100000,30,50,Nu,Bank,Cajita Turbo,0,0.13,10000,106.85
"F. Split, including Mercado Pago",100000,30,50,Revolut,Bank,Savings (on demand),0,0.15,25000,308.22
"F. Split, including Mercado Pago",100000,30,50,Ualá,Bank,On demand (Plus),0,0.15,30000,369.86
"F. Split, including Mercado Pago",100000,30,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,308.22
"F. Split, including Mercado Pago",100000,30,50,DiDi,SOFIPO,On demand,0,0.15,10000,123.29
"F. Split, including Mercado Pago",100000,30,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,10000,123.29
A. All in Stori on demand (SOFIPO),100000,90,0,Stori,SOFIPO,On demand,0,0.0725,100000,1787.67
B. All in Nu Cajita (bank),100000,90,0,Nu,Bank,Cajita (on demand),0,0.065,100000,1602.74
C. All in CETES (GBM),100000,90,0,CETES (via GBM or Cetesdirecto),Government,CETES 91d,90,0.0659,100000,1624.93
